coreid,name,basis,catalogNumber,collectionCode,collectionID,coordinateUncertaintyInMeters,lat,long,date
040bb066-3644-4a43-890d-07db50365891,Shortia galacifolia,Still Image,CONN00108025,CONN,,5000,34.97,-82.94,3/18/44
f7f2a959-7af6-4f6f-bc5c-303466c45b39,Shortia galacifolia,Preserved Specimen,CONN00108024,CONN,,5000,34.97,-82.94,1896-03-31
6cfe9158-2ef9-487f-ab76-c33ec3c76217,Shortia galacifolia,PreservedSpecimen,NCU00042365,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,2206,35.91,-79.05,3/26/28
939a7b54-e575-42fc-9b3a-c21b92d9f819,Shortia galacifolia,PreservedSpecimen,BSN-13467,BSN,d987d886-f32f-4cdb-b8e5-64d71185f286,4481,43.82,-69.66,5/30/35
f8ac90bb-d492-4321-8edc-e7ac88e2fc9a,Shortia galacifolia,PreservedSpecimen,NCU00042362,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,2168,35.91,-79.05,4/15/31
0f73ef93-0125-4195-b8a3-c61d59446bb3,Shortia galacifolia,PreservedSpecimen,NCU00042349,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,54,35.90,-79.03,3/23/87
f7277266-1dea-4e92-8790-9686820da8dd,Shortia galacifolia,Preserved Specimen,CONN00108027,CONN,,5000,41.81,-72.25,4/20/42
85b4cae0-40db-4eaf-adc9-5f60baa8bb89,Shortia galacifolia,Preserved Specimen,CONN00108026,CONN,,,35.05,-83.20,6/10/48
f63a40e5-2265-453d-81a5-2da43346478e,Shortia galacifolia,PreservedSpecimen,UNCC_42848,UNCC,827097ef-52b6-4bfc-bdea-45e382fde5b1,,35.75,-82.06,3/21/12
1f79802f-2075-49e0-bb9d-482c4af30b96,Shortia galacifolia,PreservedSpecimen,V0091796F,Botany,Botany,,35.50,-80.00,
0570d2d8-eea9-49a9-a25a-e0644cc3bb13,Shortia galacifolia,PreservedSpecimen,NCU00042364,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,1933,35.91,-79.05,3/13/38
bd9b816f-0e84-4a60-af51-795fc8014499,Shortia galacifolia,PreservedSpecimen,NCU00042363,,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,128,35.89,-79.02,3/18/70
05f74d80-6097-4458-8445-9e9fc2d3176e,Shortia galacifolia,PreservedSpecimen,3946838,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,2289,40.86,-73.88,4/22/42
